鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
新莊區,海山里,1712,1343254,19233,15814,1067294,57843,33538,3187,1455,126441,2255,12128,207,3858,862747,1139091,1697
新莊區,全安里,1398,1189597,12986,13459,972475,52545,17340,4002,1402,98438,268,13334,155,3194,800367,1017581,1486
新莊區,文衡里,710,636231,7758,16813,439018,35299,47778,897,881,76791,581,5522,0,4895,357765,554978,379
新莊區,興漢里,1150,941867,8473,19526,680057,57505,23569,2517,757,109007,345,11019,1775,27315,550465,812275,4379
新莊區,榮和里,950,866291,7967,7840,565002,54819,28027,2940,1657,189531,931,6302,37,1238,460728,762020,889
新莊區,文德里,526,473765,6431,3354,365816,21063,11596,1750,461,53805,14,4512,16,4947,300381,408334,249
新莊區,文明里,567,535744,9810,8768,365680,25201,14859,1627,619,104462,1007,2694,244,774,296584,466648,873
新莊區,中港里,2049,1760687,18433,30509,1317780,71923,60147,6836,1289,230411,642,16919,636,5161,1060083,1502858,3054
新莊區,頭前里,1565,1286713,24582,9748,834583,75476,69917,14033,1025,232217,2,11413,372,13344,649496,1101638,1113
新莊區,丹鳳里,2376,1650786,36030,12331,1404481,38593,17701,4704,1741,115926,236,11056,101,7886,1102294,1348705,1902
新莊區,西盛里,3419,2724153,57002,14909,1973567,93360,97717,12883,7346,432085,1064,22473,56,11692,1530397,2281537,1757
新莊區,瓊林里,1713,1224032,21330,8174,974816,58161,32595,2480,1276,113212,486,9020,0,2481,761608,1010736,297
新莊區,營盤里,821,658202,16054,4943,409550,38734,73785,2269,1309,101765,0,5847,0,3945,318221,566872,390
新莊區,後港里,2293,1724141,21861,15359,1415080,56765,44944,3586,1714,139532,879,21297,951,2174,1121852,1430899,3622
新莊區,國泰里,510,396581,11095,2007,265874,17037,14064,485,241,82333,59,1962,0,1424,203440,334147,228
新莊區,立人里,732,721577,1558,13871,549942,51004,8801,1451,787,74786,432,7563,184,11198,460583,632197,943
新莊區,恆安里,1360,1131207,13260,11333,912519,53414,25626,2216,1053,94591,1145,13377,822,1851,743611,962090,2515
新莊區,思源里,1732,1335905,20542,14840,1047889,52987,53913,3670,869,130225,355,8266,35,2313,831086,1119102,1137
新莊區,化成里,1100,863380,45211,10641,565270,49185,52621,5968,944,119897,10,10695,250,2687,432334,730444,1648
新莊區,福基里,1043,969689,14478,9109,614591,50285,71418,14920,1755,182027,0,7471,0,3634,489028,844160,227
